costat,curcd,datafmt,indfmt,consol,tic,datadate,gvkey,conm,cusip,gsector,sector
A,USD,STD,INDL,C,AAL,12/31/04,001045,AMERICAN AIRLINES GROUP INC,02376R102,20,Industrials
A,USD,STD,INDL,C,AAL,12/31/05,001045,AMERICAN AIRLINES GROUP INC,02376R102,20,Industrials
A,USD,STD,INDL,C,AAL,12/31/06,001045,AMERICAN AIRLINES GROUP INC,02376R102,20,Industrials
A,USD,STD,INDL,C,AAL,12/31/07,001045,AMERICAN AIRLINES GROUP INC,02376R102,20,Industrials
A,USD,STD,INDL,C,AAL,12/31/08,001045,AMERICAN AIRLINES GROUP INC,02376R102,20,Industrials
A,USD,STD,INDL,C,AAL,12/31/09,001045,AMERICAN AIRLINES GROUP INC,02376R102,20,Industrials
A,USD,STD,INDL,C,AAL,12/31/10,001045,AMERICAN AIRLINES GROUP INC,02376R102,20,Industrials
A,USD,STD,INDL,C,AAL,12/31/11,001045,AMERICAN AIRLINES GROUP INC,02376R102,20,Industrials
A,USD,STD,INDL,C,AAL,12/31/12,001045,AMERICAN AIRLINES GROUP INC,02376R102,20,Industrials
A,USD,STD,INDL,C,AAL,12/31/13,001045,AMERICAN AIRLINES GROUP INC,02376R102,20,Industrials
A,USD,STD,INDL,C,AAL,12/31/14,001045,AMERICAN AIRLINES GROUP INC,02376R102,20,Industrials
A,USD,STD,INDL,C,AAL,12/31/15,001045,AMERICAN AIRLINES GROUP INC,02376R102,20,Industrials
A,USD,STD,INDL,C,AAL,12/31/16,001045,AMERICAN AIRLINES GROUP INC,02376R102,20,Industrials
A,USD,STD,INDL,C,AAL,12/31/17,001045,AMERICAN AIRLINES GROUP INC,02376R102,20,Industrials
A,USD,STD,INDL,C,AAL,12/31/18,001045,AMERICAN AIRLINES GROUP INC,02376R102,20,Industrials
A,USD,STD,INDL,C,AAL,12/31/19,001045,AMERICAN AIRLINES GROUP INC,02376R102,20,Industrials
A,USD,STD,INDL,C,AAL,12/31/20,001045,AMERICAN AIRLINES GROUP INC,02376R102,20,Industrials
A,USD,STD,INDL,C,AAL,12/31/21,001045,AMERICAN AIRLINES GROUP INC,02376R102,20,Industrials
A,USD,STD,INDL,C,AAL,12/31/22,001045,AMERICAN AIRLINES GROUP INC,02376R102,20,Industrials
A,USD,STD,INDL,C,AAL,12/31/23,001045,AMERICAN AIRLINES GROUP INC,02376R102,20,Industrials
A,USD,STD,INDL,C,AAL,12/31/24,001045,AMERICAN AIRLINES GROUP INC,02376R102,20,Industrials
A,USD,STD,INDL,C,AAL,12/31/25,001045,AMERICAN AIRLINES GROUP INC,02376R102,20,Industrials
A,USD,STD,INDL,C,AMD,12/31/04,001161,ADVANCED MICRO DEVICES,007903107,45,Information Technology
A,USD,STD,INDL,C,AMD,12/31/05,001161,ADVANCED MICRO DEVICES,007903107,45,Information Technology
