date,portfolio_return,qqq_return
2020-01-13,0.00000000,0.02500464
2020-01-21,0.00369204,0.01054538
2020-01-27,-0.02547402,-0.02319954
2020-02-03,-0.01402004,0.01962402
2020-02-10,0.03691421,0.04312436
2020-02-18,0.00562278,0.01189807
2020-02-24,-0.04819167,-0.05683124
2020-03-02,-0.03171646,-0.02244908
2020-03-09,-0.08103004,-0.10558170
2020-03-16,-0.12030697,-0.12538102
2020-03-23,-0.02431761,0.00685176
2020-03-30,0.12789892,0.12659853
2020-04-06,0.00290478,0.02312020
2020-04-13,0.03340328,0.03333674
2020-04-20,0.02704261,0.04782548
2020-04-27,0.02570400,0.01325558
2020-05-04,-0.02134480,-0.00157727
2020-05-11,0.04294859,0.05413063
2020-05-18,0.00397477,0.00246836
2020-05-26,0.01995117,0.00707910
2020-06-01,0.02780921,0.02191759
2020-06-08,0.06471025,0.03200037
2020-06-15,-0.07120656,-0.01159182
2020-06-22,0.02247036,0.03346599
2020-06-29,-0.00764346,-0.01580615
2020-07-06,0.68184400,0.06403401
2020-07-13,-0.01448848,0.00058049
2020-07-20,0.03696052,0.03187124
2020-07-27,-0.01028836,-0.02496440
2020-08-03,0.02024909,0.03559899
2020-08-10,0.00727255,0.00345234
2020-08-17,0.00151545,0.01853431
2020-08-24,-0.00388893,0.03018305
2020-08-31,0.01309667,0.03966435
2020-09-08,-0.05342966,-0.08454284
2020-09-14,0.00791421,0.01929984
2020-09-21,-0.01595675,-0.02780198
2020-09-28,0.03177616,0.03622295
2020-10-05,0.01179375,0.01067818
2020-10-12,0.03972634,0.05129210
2020-10-19,-0.02098265,-0.03643096
2020-10-26,-0.01215228,-0.01173357
2020-11-02,-0.03244637,-0.03740147
2020-11-09,0.08219944,0.06893097
2020-11-16,0.03628191,0.01597427
2020-11-23,-0.02904121,-0.00958389
2020-11-30,0.01819102,0.03178477
2020-12-07,0.04268503,0.02546561
2020-12-14,-0.00612565,-0.01044749
2020-12-21,0.01232479,0.01605054
2020-12-28,-0.00237907,0.01217137
2021-01-04,0.79866904,-0.01077778
2021-01-11,0.02321142,0.01652069
2021-01-19,0.00796607,0.00632908
2021-01-25,0.01298060,0.03697728
2021-02-01,-0.00751460,-0.01734166
2021-02-08,0.02417253,0.03461315
2021-02-16,0.01049297,0.00587572
2021-02-22,-0.02340906,-0.03904156
2021-03-01,-0.00749683,0.00356654
2021-03-08,-0.05183339,-0.07308629
2021-03-15,0.07563002,0.06297921
2021-03-22,-0.00786274,-0.00069003
2021-03-29,-0.00473770,-0.00847425
2021-04-05,0.04787842,0.04792499
2021-04-12,-0.00458577,0.01697637
2021-04-19,-0.00086254,0.00656427
2021-04-26,0.01040646,0.00811497
2021-05-03,-0.01047194,-0.01592367
2021-05-10,-0.01823330,-0.03102410
2021-05-17,-0.00309042,-0.00414417
2021-05-24,0.02220819,0.02496842
2021-06-01,-0.00472785,0.00093230
2021-06-07,0.01455595,0.01135749
2021-06-14,0.01279117,0.02349971
2021-06-21,-0.02238094,-0.00043547
2021-06-28,0.02175277,0.02715184
2021-07-06,-0.01523134,0.01832012
2021-07-12,-0.00243828,0.00619121
2021-07-19,-0.02380851,-0.02138403
2021-07-26,0.86842573,0.03896573
2021-08-02,0.00150082,-0.01055655
2021-08-09,0.00239272,0.01132750
2021-08-16,0.00268120,0.00067800
2021-08-23,0.00584331,0.01151824
2021-08-30,1.65246296,0.01883557
2021-09-07,0.00103159,0.00486503
2021-09-13,-0.01370172,-0.01512653
2021-09-20,-0.02257973,-0.02824642
2021-09-27,0.01051106,0.01271532
2021-10-04,-0.04471241,-0.04787366
2021-10-11,0.01434766,0.01636328
2021-10-18,0.03139129,0.03978900
2021-10-25,0.02048448,0.01416879
2021-11-01,0.00012807,0.02513693
2021-11-08,0.02244218,0.02743723
2021-11-15,-0.00324885,-0.00866707
2021-11-22,-0.01865274,0.01188516
2021-11-29,-0.00639864,0.00097675
2021-12-06,-0.01655527,-0.03375113
2021-12-13,0.01265486,0.01569134
2021-12-20,-0.01442727,-0.02949576
2021-12-27,0.04569622,0.05986500
