date,portfolio_return,qqq_return
2010-01-11,0.00000000,-0.00129249
2010-01-19,0.00187712,0.00496116
2010-01-25,-0.04395375,-0.04893751
2010-02-01,-0.01362785,-0.02369675
2010-02-08,-0.02378881,-0.01363847
2010-02-16,0.03884915,0.03866889
2010-02-22,0.00351427,0.00947658
2010-03-01,0.02039397,0.01497537
2010-03-08,0.01730621,0.02466415
2010-03-15,0.01225982,0.01525904
2010-03-22,0.01498344,0.01439451
2010-03-29,-0.00798392,0.00646914
2010-04-05,0.00580545,0.00787894
2010-04-12,0.00445423,0.00946305
2010-04-19,-0.00293689,0.00876300
2010-04-26,0.03288886,0.01838384
2010-05-03,-0.00709964,-0.00952191
2010-05-10,-0.04964923,-0.04326056
2010-05-17,-0.05214134,-0.01444418
2010-05-24,-0.05407739,-0.05140191
2010-06-01,0.00005312,0.01164354
2010-06-07,-0.02160592,-0.02014165
2010-06-14,0.03049592,0.02755819
2010-06-21,0.01695896,0.02440090
2010-06-28,-0.04055362,-0.03197420
2010-07-06,-0.05773853,-0.05564181
2010-07-12,0.04737821,0.05046952
2010-07-19,0.01365175,-0.00067036
2010-07-26,0.03818148,0.03846148
2010-08-02,0.00892367,0.00495262
2010-08-09,0.00349614,0.00878517
2010-08-16,-0.03225866,-0.04842826
2010-08-23,0.00160130,-0.00714285
2010-08-30,-0.02330365,-0.01955933
2010-09-07,0.05081753,0.04792479
2010-09-13,0.03762811,0.03391683
2010-09-20,0.03147677,0.03343919
2010-09-27,0.00136782,0.01146831
2010-10-04,-0.01449446,-0.01842478
2010-10-11,0.01684793,0.02660893
2010-10-18,0.01593518,0.03074139
2010-10-25,0.01117839,0.01150098
2010-11-01,0.01345538,0.00635964
2010-11-08,0.02980624,0.02910763
2010-11-15,-0.01705968,-0.02660961
2010-11-22,0.01142031,0.01147005
2010-11-29,-0.00458675,-0.00340201
2010-12-06,0.02809185,0.02124026
2010-12-13,0.00479269,0.00835656
2010-12-20,0.02134993,0.00478825
2010-12-27,0.01088342,0.00384896
2011-01-03,0.34045032,0.00985943
2011-01-10,0.00382621,0.01392154
2011-01-18,0.02167448,0.01925817
2011-01-24,-0.00692329,-0.01242126
2011-01-31,-0.00877365,-0.00797167
2011-02-07,0.03176729,0.02946431
2011-02-14,0.01094956,0.01613183
2011-02-22,-0.01865528,-0.02645959
2011-02-28,0.00878369,0.01297566
2011-03-07,-0.01042093,-0.01003984
2011-03-14,-0.01082920,-0.01573698
2011-03-21,-0.00459804,-0.01403448
2011-03-28,0.02071488,0.01855854
2011-04-04,0.03085582,0.01309042
2011-04-11,-0.03840451,-0.00890522
2011-04-18,-0.01664836,-0.00898517
2011-04-25,0.03296331,0.03982225
2011-05-02,0.01454817,0.00820652
2011-05-09,-0.00001565,-0.00474822
2011-05-16,-0.00747460,-0.02197985
2011-05-23,-0.01037902,-0.00836243
2011-05-31,0.02443215,0.02529871
2011-06-06,-0.04561818,-0.04232353
2011-06-13,-0.02139491,-0.02236536
2011-06-20,-0.00459021,-0.01043191
2011-06-27,0.02085711,0.02182357
2011-07-05,0.25410920,0.05339368
2011-07-11,-0.00059222,-0.00412374
2011-07-18,-0.03798855,-0.00724635
2011-07-25,0.03356886,0.03371565
2011-08-01,-0.04666927,-0.02942165
2011-08-08,-0.12995420,-0.12367919
2011-08-15,0.09322584,0.07452066
2011-08-22,-0.08124732,-0.07634293
2011-08-29,0.08970108,0.08763198
2011-09-06,-0.02581730,-0.02417139
2011-09-12,0.00125489,0.01069618
2011-09-19,0.04034251,0.05105830
2011-09-26,-0.06268052,-0.03232648
2011-10-03,-0.07540643,-0.06644760
2011-10-10,0.10807836,0.09385998
2011-10-17,-0.07656623,0.02395424
2011-10-24,0.03967701,0.02112435
2011-10-31,-0.01195926,-0.00923236
2011-11-07,0.01775788,0.00448660
2011-11-14,-0.04201272,-0.01236896
2011-11-21,-0.06482141,-0.05479216
2011-11-28,0.00345107,0.00699303
2011-12-05,0.05430412,0.04605264
2011-12-12,-0.02423917,-0.01502447
2011-12-19,-0.03236712,-0.03653780
2011-12-27,0.04110540,0.03534613
