update_num,q1_loss,q2_loss,actor_loss,alpha,entropy,td_error
1,0.665234,0.659385,nan,0.200000,nan,1.777889
2,1.225943,1.219753,1.402516,0.200020,-6.911459,2.896251
3,1.429610,1.426005,nan,0.200020,nan,3.331818
4,1.306719,1.305606,1.834052,0.200039,-9.048223,3.090029
5,1.299026,1.300320,nan,0.200039,nan,3.078913
6,0.962229,0.963490,1.793731,0.200059,-8.802532,2.380707
7,0.645887,0.646318,nan,0.200059,nan,1.704816
8,0.735862,0.735215,1.570699,0.200079,-7.652113,1.919577
9,0.890814,0.890375,nan,0.200079,nan,2.220057
10,1.380948,1.379906,1.580839,0.200098,-7.655547,3.194278
11,1.083959,1.083573,nan,0.200098,nan,2.612636
12,0.781631,0.782129,1.604510,0.200118,-7.707694,2.017893
13,1.119263,1.120189,nan,0.200118,nan,2.712600
14,0.886405,0.887246,1.727911,0.200137,-8.260414,2.228574
15,1.029911,1.030585,nan,0.200137,nan,2.521844
16,1.272688,1.273180,1.507167,0.200156,-7.065319,2.979372
17,1.230754,1.229942,nan,0.200156,nan,2.924999
18,1.416227,1.417165,1.396892,0.200175,-6.435621,3.241448
19,0.658552,0.660076,nan,0.200175,nan,1.710330
20,1.552314,1.553445,1.595442,0.200194,-7.308887,3.579017
21,1.200014,1.200558,nan,0.200194,nan,2.850236
22,1.379514,1.378678,1.777378,0.200213,-8.091784,3.238515
23,1.039254,1.038472,nan,0.200213,nan,2.551399
24,0.951383,0.952520,1.720228,0.200232,-7.611606,2.370239
25,0.745478,0.747500,nan,0.200232,nan,1.925804
26,0.988407,0.988920,1.841742,0.200251,-8.074979,2.446139
27,0.734128,0.735924,nan,0.200251,nan,1.924515
28,0.662415,0.665115,1.803729,0.200270,-7.676003,1.812151
29,0.661707,0.666317,nan,0.200270,nan,1.769990
30,1.218469,1.222467,1.981798,0.200290,-8.484283,2.862565
31,0.932738,0.934316,nan,0.200290,nan,2.309875
32,1.577946,1.579816,1.940711,0.200310,-8.017567,3.638270
33,1.246077,1.249012,nan,0.200310,nan,2.965656
34,1.138761,1.142455,2.007767,0.200330,-8.170378,2.739726
35,0.708348,0.711781,nan,0.200330,nan,1.862799
36,1.106405,1.113399,1.737967,0.200349,-6.515149,2.620053
37,1.586590,1.593139,nan,0.200349,nan,3.616076
38,0.919396,0.925220,2.396152,0.200369,-9.639355,2.297952
39,0.896281,0.899151,nan,0.200369,nan,2.251214
40,0.738533,0.748358,2.224754,0.200389,-8.604954,1.915864
41,1.032118,1.039489,nan,0.200389,nan,2.507578
42,1.077628,1.085028,1.908133,0.200409,-6.899703,2.585353
43,0.939238,0.946491,nan,0.200409,nan,2.294899
44,0.727621,0.731528,1.948185,0.200428,-6.946579,1.905886
45,1.084037,1.090724,nan,0.200428,nan,2.606818
46,0.869465,0.878672,1.979266,0.200447,-6.734627,2.202847
47,1.298315,1.311614,nan,0.200447,nan,3.026883
48,1.337933,1.351263,2.251569,0.200466,-7.705004,3.120038
49,1.435994,1.446660,nan,0.200466,nan,3.321792
50,0.896323,0.910000,2.272048,0.200485,-7.735133,2.232392
51,0.682459,0.692971,nan,0.200485,nan,1.804876
52,1.366101,1.374173,2.159927,0.200503,-6.671139,3.176353
53,1.189574,1.203185,nan,0.200503,nan,2.786469
54,0.889912,0.901166,2.222908,0.200522,-7.153451,2.233348
55,0.851192,0.865683,nan,0.200522,nan,2.129704
56,0.845925,0.858208,2.735833,0.200541,-9.664600,2.141089
57,0.909795,0.917984,nan,0.200541,nan,2.279974
58,1.370330,1.385520,2.570730,0.200560,-7.885284,3.184844
59,0.822163,0.836163,nan,0.200560,nan,2.069205
60,1.017503,1.028124,2.429119,0.200579,-7.024724,2.495214
61,0.926935,0.944310,nan,0.200579,nan,2.274002
62,0.973145,0.991613,3.137372,0.200599,-10.045732,2.397315
63,1.392983,1.408164,nan,0.200599,nan,3.221563
64,1.409563,1.435396,2.593196,0.200619,-7.218300,3.255991
65,0.794119,0.815460,nan,0.200619,nan,1.994733
66,1.220196,1.246189,2.342347,0.200638,-5.787416,2.853661
67,0.829355,0.857882,nan,0.200638,nan,2.093611
68,0.963367,0.980834,2.928226,0.200656,-7.796542,2.367066
69,0.920318,0.945351,nan,0.200656,nan,2.269720
70,0.780414,0.797935,3.263564,0.200676,-9.581970,1.983644
71,0.906351,0.932919,nan,0.200676,nan,2.226244
72,0.490911,0.519731,3.194417,0.200696,-8.007990,1.390619
73,1.185796,1.209020,nan,0.200696,nan,2.789902
