date,portfolio_return,qqq_return
2024-01-08,0.00000000,0.00586208
2024-01-16,-0.00997435,0.01128529
2024-01-22,0.02270771,0.02981545
2024-01-29,0.00932436,0.01522297
2024-02-05,-0.01205167,0.00070073
2024-02-12,0.03410885,0.01608119
2024-02-20,-0.00805819,-0.01842236
2024-02-26,0.00929534,0.02159969
2024-03-04,0.01166051,0.01711145
2024-03-11,0.00301868,-0.01493170
2024-03-18,0.04797966,0.00020576
2024-03-25,0.01451646,0.01664076
2024-04-01,0.00786206,0.00042720
2024-04-08,-0.02581775,-0.00977639
2024-04-15,-0.02834317,-0.02165231
2024-04-22,-0.01527898,-0.02839510
2024-04-29,0.03627151,0.03326009
2024-05-06,0.00039302,0.01733102
2024-05-13,0.00389853,0.00642814
2024-05-20,0.01964908,0.02669951
2024-05-28,-0.01278566,0.01048557
2024-06-03,-0.00679710,-0.01424902
2024-06-10,0.01638258,0.02582036
2024-06-17,0.00812131,0.04352131
2024-06-24,-0.00280631,-0.02288378
2024-07-01,-0.12203085,0.01679471
2024-07-08,0.01017054,0.03199698
2024-07-15,0.00771092,-0.00239273
2024-07-22,-0.02251290,-0.02787461
2024-07-29,-0.02721538,-0.03819044
2024-08-05,-0.05729650,-0.06150032
2024-08-12,0.02042396,0.03677334
2024-08-19,0.06760998,0.06621911
2024-08-26,-0.00212064,-0.01232155
2024-09-03,-0.01524196,-0.02846383
2024-09-09,-0.00915013,-0.01591565
2024-09-16,0.03518358,0.04132377
2024-09-23,0.00519470,0.02070835
2024-09-30,0.00486625,0.01041321
2024-10-07,-0.01208644,-0.01223185
2024-10-14,0.03902971,0.03194357
2024-10-21,-0.03012370,-0.00418088
2024-10-28,0.03556943,-0.00004041
2024-11-04,0.00331131,-0.01895435
2024-11-11,0.10771514,0.05726223
2024-11-18,-0.02952391,-0.02689560
2024-11-25,0.03414217,0.01313949
2024-12-02,-0.00918415,0.01717362
2024-12-09,0.01972999,0.01375930
2024-12-16,-0.00191927,0.03022700
2024-12-23,-0.03575017,-0.02842966
2024-12-30,-0.00449635,-0.01388492
2025-01-06,-0.02170149,0.01731928
2025-01-13,-0.01677136,-0.03618405
2025-01-21,0.04483007,0.03805679
2025-01-27,-0.01489353,-0.02017905
2025-02-03,0.00958338,0.00758438
2025-02-10,0.01188982,0.02150125
2025-02-18,0.01125247,0.01912139
2025-02-24,-0.03253304,-0.03615329
2025-03-03,-0.03434508,-0.04389560
2025-03-10,-0.03494492,-0.04892863
2025-03-17,0.01653516,0.02123829
2025-03-24,0.01471782,0.01634322
2025-03-31,-0.02821302,-0.04430765
2025-04-07,-0.12004907,-0.09645571
2025-04-14,0.06808911,0.07975172
2025-04-21,-0.05472716,-0.05327014
2025-04-28,0.08969265,0.09073912
2025-05-05,0.02601166,0.02861918
2025-05-12,0.04620034,0.04510941
2025-05-19,0.02283802,0.02788226
2025-05-27,-0.00037422,-0.00151346
2025-06-02,-0.01567016,0.00381806
2025-06-09,-0.01503129,0.01431546
2025-06-16,-0.01049812,0.00676459
2025-06-23,-0.02311604,-0.00494105
2025-06-30,0.03597171,0.03759990
2025-07-07,0.00940088,0.00070701
2025-07-14,-0.00691808,0.00757204
2025-07-21,0.01269182,0.01431107
2025-07-28,0.00818424,0.00703694
2025-08-04,-0.00826309,-0.00711099
2025-08-11,-0.01055509,0.01551143
2025-08-18,0.01336582,0.00743652
2025-08-25,-0.00035648,-0.01176548
2025-09-02,-0.00947199,-0.00824101
2025-09-08,0.01030941,0.02342562
2025-09-15,0.04485710,0.02212932
2025-09-22,0.04026394,0.01777991
2025-09-29,0.00332829,-0.00576226
2025-10-06,0.02279514,0.01499848
2025-10-13,-0.01759773,-0.00937949
2025-10-20,0.02387206,0.01583025
2025-10-27,0.03300685,0.02706291
2025-11-03,-0.00573015,0.00635258
2025-11-10,-0.01127130,-0.01400145
2025-11-17,0.00292122,-0.03140094
2025-11-24,-0.00017121,0.00248484
2025-12-01,0.01108411,0.01984601
2025-12-08,0.01689317,0.01152040
2025-12-15,-0.00778786,-0.02200944
2025-12-22,0.00110419,0.01420062
2025-12-29,-0.00138353,0.00268079
2026-01-05,0.05410962,-0.00463866
2026-01-12,0.02561695,0.01485460
2026-01-20,-0.02351181,-0.03047018
2026-01-26,0.02255128,0.02861564
2026-02-02,-0.00260564,0.00108719
2026-02-09,-0.00626767,-0.01887758
2026-02-17,0.00227618,-0.02119420
2026-02-23,-0.00246707,0.00018291
2026-03-02,0.02678379,0.01110732
