update_num,q1_loss,q2_loss,actor_loss,alpha,entropy,td_error
1,0.764456,0.768581,nan,0.200000,nan,1.991100
2,0.592691,0.596255,1.068223,0.200020,-5.204080,1.639915
3,0.599038,0.599568,nan,0.200020,nan,1.650512
4,0.661372,0.660438,1.354410,0.200038,-6.589594,1.787967
5,0.610474,0.609243,nan,0.200038,nan,1.648188
6,0.817149,0.815513,1.460246,0.200057,-7.105027,2.104798
7,0.718528,0.719104,nan,0.200057,nan,1.887599
8,0.501253,0.501343,1.654833,0.200076,-8.050842,1.398006
9,0.520666,0.521666,nan,0.200076,nan,1.479850
10,0.727102,0.728264,2.015502,0.200095,-9.823306,1.915848
11,0.460812,0.461634,nan,0.200095,nan,1.329115
12,0.627380,0.626764,1.563473,0.200115,-7.522686,1.696757
13,0.718351,0.718133,nan,0.200115,nan,1.872307
14,0.745536,0.745284,1.657177,0.200134,-7.959455,1.938035
15,0.492903,0.494030,nan,0.200134,nan,1.410748
16,0.593927,0.594275,1.404455,0.200153,-6.678962,1.603944
17,0.596190,0.596881,nan,0.200153,nan,1.635528
18,0.732241,0.733077,1.444299,0.200172,-6.837869,1.917541
19,0.746033,0.746120,nan,0.200172,nan,1.926686
20,0.668809,0.667993,1.380794,0.200190,-6.437824,1.796571
21,0.603590,0.602812,nan,0.200190,nan,1.665696
22,0.697069,0.696615,1.529987,0.200209,-7.155145,1.841867
23,0.735761,0.736544,nan,0.200209,nan,1.945014
24,0.620417,0.622156,1.798083,0.200228,-8.402042,1.699115
25,0.714557,0.716456,nan,0.200228,nan,1.872668
26,0.797356,0.798184,1.321986,0.200246,-5.972070,2.041365
27,0.487117,0.487552,nan,0.200246,nan,1.390847
28,0.558616,0.558425,2.046131,0.200265,-9.420912,1.594177
29,0.633530,0.634243,nan,0.200265,nan,1.733797
30,0.569544,0.570206,1.713933,0.200285,-7.706904,1.542555
31,0.733967,0.735027,nan,0.200285,nan,1.912865
32,0.543035,0.542854,1.676821,0.200304,-7.306739,1.522948
33,0.572053,0.572106,nan,0.200304,nan,1.586128
34,0.583511,0.584055,1.933380,0.200324,-8.405710,1.603781
35,0.764603,0.764397,nan,0.200324,nan,1.989870
36,0.498526,0.498323,1.816452,0.200343,-7.800622,1.429310
37,0.581809,0.581200,nan,0.200343,nan,1.607799
38,0.484123,0.483456,1.978381,0.200363,-8.340532,1.398399
39,0.534302,0.534576,nan,0.200363,nan,1.525738
40,0.616545,0.617961,1.439132,0.200382,-5.531601,1.668113
41,0.471308,0.471368,nan,0.200382,nan,1.379126
42,0.519726,0.519275,1.744938,0.200401,-7.063310,1.476121
43,0.666538,0.667251,nan,0.200401,nan,1.773365
44,0.625463,0.624643,1.763916,0.200420,-7.283381,1.718498
45,0.676779,0.677986,nan,0.200420,nan,1.783412
46,0.520913,0.521900,1.906486,0.200439,-7.489764,1.483134
47,0.480783,0.482503,nan,0.200439,nan,1.386318
48,0.621753,0.622006,1.735544,0.200457,-6.830182,1.657829
49,0.666040,0.663958,nan,0.200457,nan,1.765413
50,0.454484,0.451670,1.915542,0.200476,-7.502377,1.321979
51,0.519322,0.514563,nan,0.200476,nan,1.454292
52,0.511158,0.507434,1.846592,0.200495,-6.881950,1.453140
53,0.466325,0.463617,nan,0.200495,nan,1.349729
54,0.469738,0.469330,1.910052,0.200513,-6.997811,1.361132
55,0.443330,0.445837,nan,0.200513,nan,1.299823
56,0.521222,0.520970,1.733419,0.200531,-6.340057,1.465607
57,0.547676,0.544993,nan,0.200531,nan,1.515049
58,0.394127,0.391723,2.094951,0.200549,-7.466922,1.207233
59,0.587725,0.584093,nan,0.200549,nan,1.616273
60,0.408396,0.405035,1.872992,0.200567,-5.963943,1.241909
61,0.520718,0.516724,nan,0.200567,nan,1.443158
62,0.518821,0.512783,2.479993,0.200585,-8.678003,1.477620
63,0.484388,0.480959,nan,0.200585,nan,1.391718
64,0.422662,0.416310,2.170538,0.200604,-6.946873,1.268738
65,0.532780,0.524322,nan,0.200604,nan,1.471875
66,0.564884,0.564265,2.218443,0.200622,-7.114970,1.569355
67,0.434898,0.428914,nan,0.200622,nan,1.263877
68,0.384151,0.371576,2.759048,0.200641,-9.418365,1.144947
69,0.492434,0.483349,nan,0.200641,nan,1.414329
70,0.462703,0.456588,2.191248,0.200661,-8.174501,1.342431
71,0.550653,0.543573,nan,0.200661,nan,1.524956
72,0.583881,0.574232,1.980841,0.200680,-6.522540,1.601628
73,0.462526,0.454273,nan,0.200680,nan,1.354989
74,0.518462,0.511498,2.298111,0.200699,-6.923566,1.468300
75,0.415519,0.408400,nan,0.200699,nan,1.245002
76,0.389977,0.380368,1.865868,0.200717,-4.983490,1.175576
77,0.363123,0.357139,nan,0.200717,nan,1.126319
78,0.553150,0.544799,2.651434,0.200736,-9.676922,1.510155
79,0.364682,0.357544,nan,0.200736,nan,1.124690
80,0.443253,0.435328,2.645915,0.200755,-8.741203,1.303754
81,0.424778,0.416055,nan,0.200755,nan,1.278395
82,0.346785,0.330473,2.429796,0.200775,-7.061844,1.066815
83,0.488839,0.476640,nan,0.200775,nan,1.383071
84,0.337491,0.323815,2.869128,0.200795,-9.149124,1.082799
85,0.468327,0.451254,nan,0.200795,nan,1.352063
86,0.500829,0.486609,2.375154,0.200815,-6.692733,1.419996
87,0.457172,0.445697,nan,0.200815,nan,1.309844
88,0.511035,0.500865,2.508470,0.200834,-7.379854,1.448685
89,0.435645,0.427261,nan,0.200834,nan,1.295456
90,0.357715,0.341323,2.984222,0.200854,-8.861278,1.111166
91,0.459310,0.443709,nan,0.200854,nan,1.316792
92,0.429829,0.417444,2.661854,0.200875,-7.367989,1.248168
93,0.377419,0.364529,nan,0.200875,nan,1.164625
94,0.396537,0.385420,2.313343,0.200893,-5.023195,1.186129
95,0.350149,0.343179,nan,0.200893,nan,1.086898
96,0.283587,0.272146,2.451535,0.200911,-5.490035,0.957090
97,0.365636,0.351200,nan,0.200911,nan,1.118147
98,0.349213,0.332830,2.919253,0.200929,-8.274338,1.069309
99,0.364906,0.357866,nan,0.200929,nan,1.101077
100,0.453146,0.447452,2.405662,0.200947,-6.412931,1.305726
101,0.475834,0.474700,nan,0.200947,nan,1.362992
102,0.529267,0.526018,2.370911,0.200964,-5.956195,1.487734
103,0.371471,0.359588,nan,0.200964,nan,1.160810
104,0.293269,0.281619,2.409796,0.200980,-5.765838,0.938293
105,0.386711,0.380370,nan,0.200980,nan,1.180175
106,0.310776,0.298129,2.859981,0.200996,-6.312012,1.007912
107,0.381526,0.370619,nan,0.200996,nan,1.136941
108,0.335650,0.320127,3.208766,0.201012,-7.583670,1.051879
109,0.432388,0.419789,nan,0.201012,nan,1.276336
110,0.363743,0.352451,2.654627,0.201028,-5.935500,1.120730
111,0.350550,0.344580,nan,0.201028,nan,1.087692
112,0.428523,0.430506,2.665606,0.201045,-8.116940,1.251238
113,0.575404,0.596413,nan,0.201045,nan,1.609724
114,0.481533,0.489076,2.225280,0.201062,-6.864115,1.379537
115,0.385085,0.372711,nan,0.201062,nan,1.138674
116,0.452548,0.430281,2.901210,0.201078,-7.487820,1.299222
117,0.424655,0.401156,nan,0.201078,nan,1.244907
118,0.471955,0.472629,2.784842,0.201095,-6.581156,1.350558
119,0.444445,0.406117,nan,0.201095,nan,1.272991
120,0.347466,0.345160,3.520918,0.201113,-7.946680,1.087959
121,0.348938,0.343489,nan,0.201113,nan,1.090041
122,0.456387,0.447120,2.480442,0.201129,-5.612719,1.352279
123,0.454858,0.470871,nan,0.201129,nan,1.317021
124,0.263947,0.275628,2.712433,0.201146,-7.207795,0.879501
125,0.519737,0.557373,nan,0.201146,nan,1.479566
126,0.460413,0.489605,3.084993,0.201163,-7.922918,1.351547
127,0.372978,0.375327,nan,0.201163,nan,1.131743
128,0.333486,0.331382,2.867041,0.201180,-5.965430,1.022522
129,0.278716,0.271164,nan,0.201180,nan,0.949561
130,0.288344,0.293986,2.428064,0.201196,-5.281008,0.958922
131,0.388406,0.380181,nan,0.201196,nan,1.185665
132,0.364882,0.361637,2.793391,0.201212,-7.748699,1.128034
133,0.428396,0.438599,nan,0.201212,nan,1.249606
134,0.284666,0.290534,2.798596,0.201228,-7.282207,0.925859
135,0.438191,0.453956,nan,0.201228,nan,1.292181
136,0.576330,0.574422,2.578998,0.201244,-5.498303,1.578702
137,0.484841,0.488734,nan,0.201244,nan,1.383858
138,0.476755,0.477422,3.113111,0.201260,-6.090692,1.380516
139,0.327638,0.326760,nan,0.201260,nan,1.034972
140,0.298752,0.298993,3.066067,0.201275,-6.249478,0.990430
141,0.339622,0.343013,nan,0.201275,nan,1.060611
142,0.472943,0.465051,2.853935,0.201289,-4.815068,1.369619
143,0.382023,0.393699,nan,0.201289,nan,1.154131
144,0.267675,0.272459,3.052906,0.201302,-5.988138,0.900773
145,0.228961,0.235205,nan,0.201302,nan,0.799283
146,0.285212,0.294932,2.966786,0.201316,-6.440652,0.967582
147,0.432613,0.440200,nan,0.201316,nan,1.248319
148,0.337140,0.342642,2.775970,0.201330,-6.391125,1.078825
149,0.301122,0.302905,nan,0.201330,nan,0.991696
150,0.263410,0.250192,3.096944,0.201344,-7.415445,0.869901
151,0.368560,0.371681,nan,0.201344,nan,1.145536
152,0.333243,0.343391,3.129729,0.201358,-5.839221,1.053240
153,0.330210,0.335025,nan,0.201358,nan,1.044838
154,0.273161,0.298411,3.025715,0.201373,-7.822350,0.943176
155,0.400204,0.427709,nan,0.201373,nan,1.197791
156,0.300966,0.312346,2.787491,0.201388,-5.835333,0.977327
157,0.364705,0.366498,nan,0.201388,nan,1.156651
158,0.460425,0.445787,3.707895,0.201403,-8.175416,1.351442
159,0.312461,0.310873,nan,0.201403,nan,1.031335
160,0.292791,0.319514,3.497987,0.201419,-6.408401,0.951208
161,0.373265,0.377364,nan,0.201419,nan,1.123235
162,0.276310,0.273962,2.604627,0.201433,-5.075266,0.902827
163,0.394935,0.421969,nan,0.201433,nan,1.215321
164,0.390761,0.402334,2.518634,0.201449,-7.556344,1.204814
165,0.387696,0.408663,nan,0.201449,nan,1.179801
166,0.438184,0.465386,2.423866,0.201465,-7.812021,1.279352
167,0.487611,0.484930,nan,0.201465,nan,1.391721
168,0.462678,0.436182,2.523916,0.201479,-4.578866,1.356085
169,0.495094,0.468259,nan,0.201479,nan,1.414754
170,0.346383,0.335843,3.158575,0.201494,-6.905268,1.100355
171,0.268134,0.260147,nan,0.201494,nan,0.926624
172,0.290676,0.299553,3.719450,0.201509,-6.595525,0.965609
173,0.485656,0.477450,nan,0.201509,nan,1.388439
174,0.286604,0.281782,3.295607,0.201524,-6.747300,0.964642
175,0.330693,0.336021,nan,0.201524,nan,1.091399
176,0.250153,0.245740,3.250217,0.201540,-6.665486,0.870865
177,0.223897,0.232302,nan,0.201540,nan,0.816679
178,0.279077,0.280762,3.145669,0.201556,-8.425764,0.949238
179,0.320765,0.317710,nan,0.201556,nan,1.034658
180,0.429028,0.409719,2.692338,0.201572,-6.232027,1.259450
181,0.395685,0.381742,nan,0.201572,nan,1.185168
182,0.401087,0.396505,3.173162,0.201588,-6.351752,1.207646
183,0.397893,0.396073,nan,0.201588,nan,1.207077
184,0.345471,0.351924,3.588176,0.201605,-6.864993,1.056782
185,0.433907,0.432672,nan,0.201605,nan,1.263307
186,0.271560,0.269899,3.893378,0.201621,-7.123847,0.926089
187,0.387568,0.390342,nan,0.201621,nan,1.186974
188,0.237451,0.238033,3.018106,0.201636,-5.059611,0.857485
189,0.303500,0.303034,nan,0.201636,nan,1.017954
190,0.292899,0.297023,3.544982,0.201653,-8.752041,0.979032
191,0.271342,0.282281,nan,0.201653,nan,0.897787
192,0.292304,0.288588,3.279246,0.201670,-6.605403,0.927705
193,0.342356,0.350547,nan,0.201670,nan,1.086995
194,0.297038,0.295113,3.121639,0.201686,-6.714704,0.973628
195,0.440389,0.436003,nan,0.201686,nan,1.296965
196,0.410961,0.407379,2.531327,0.201703,-6.699248,1.252209
197,0.311738,0.307007,nan,0.201703,nan,0.996757
198,0.411851,0.421034,3.379083,0.201721,-9.332211,1.228348
199,0.315891,0.315648,nan,0.201721,nan,1.009196
200,0.342066,0.348695,3.242189,0.201740,-7.742073,1.078174
201,0.243012,0.236888,nan,0.201740,nan,0.870714
202,0.390118,0.392144,3.394837,0.201758,-5.816734,1.165229
203,0.308612,0.316537,nan,0.201758,nan,1.000137
204,0.366325,0.369498,2.887716,0.201774,-4.358078,1.170461
205,0.299762,0.295052,nan,0.201774,nan,1.009716
206,0.405088,0.405175,3.146692,0.201790,-5.472960,1.195486
207,0.318308,0.308717,nan,0.201790,nan,1.006234
208,0.327803,0.323561,4.023996,0.201806,-8.296696,1.061519
209,0.271629,0.267905,nan,0.201806,nan,0.880399
210,0.281395,0.286474,3.415528,0.201821,-4.718585,0.944369
211,0.286357,0.283503,nan,0.201821,nan,0.949808
212,0.122845,0.125655,3.967784,0.201837,-7.857952,0.559309
213,0.175805,0.183000,nan,0.201837,nan,0.692297
214,0.274824,0.277200,3.586615,0.201855,-8.405485,0.913445
215,0.339731,0.346510,nan,0.201855,nan,1.090552
216,0.523209,0.556814,2.839846,0.201872,-7.273251,1.483892
217,0.484964,0.506866,nan,0.201872,nan,1.401853
218,0.361319,0.366516,2.863961,0.201890,-7.217851,1.108027
219,0.355722,0.346453,nan,0.201890,nan,1.100644
220,0.458797,0.450537,3.264250,0.201908,-7.981952,1.343867
221,0.318131,0.311711,nan,0.201908,nan,1.016252
222,0.283895,0.290230,3.381926,0.201926,-5.724751,0.951238
223,0.363791,0.364248,nan,0.201926,nan,1.129277
224,0.407166,0.411491,3.110421,0.201943,-5.439271,1.217287
225,0.223678,0.220460,nan,0.201943,nan,0.837977
226,0.282284,0.290507,2.902907,0.201960,-7.551567,0.952093
227,0.285319,0.282653,nan,0.201960,nan,0.976944
228,0.244377,0.240942,2.583218,0.201976,-5.169583,0.888059
229,0.387208,0.401885,nan,0.201976,nan,1.197179
230,0.422205,0.424200,3.372575,0.201992,-6.264853,1.258473
231,0.267343,0.280184,nan,0.201992,nan,0.896272
232,0.295799,0.299583,2.997014,0.202007,-5.145450,0.979717
233,0.341601,0.345802,nan,0.202007,nan,1.082352
234,0.305099,0.309337,3.544789,0.202021,-6.282727,0.992648
235,0.390740,0.395822,nan,0.202021,nan,1.184088
236,0.380446,0.377354,3.193271,0.202035,-5.553144,1.150611
237,0.277610,0.278458,nan,0.202035,nan,0.929914
238,0.396775,0.396035,3.383693,0.202050,-7.121324,1.194230
239,0.301095,0.298526,nan,0.202050,nan,0.952861
240,0.327548,0.333030,3.595687,0.202065,-7.356432,1.042267
241,0.301046,0.300888,nan,0.202065,nan,0.992469
242,0.326907,0.328456,3.695122,0.202081,-7.262272,1.039843
243,0.308720,0.311481,nan,0.202081,nan,1.001013
244,0.314593,0.311737,3.467619,0.202096,-5.862912,1.027358
245,0.327452,0.335287,nan,0.202096,nan,1.055297
246,0.285776,0.293031,3.425161,0.202113,-7.859261,0.953319
247,0.332824,0.355493,nan,0.202113,nan,1.045086
248,0.358828,0.377600,2.446654,0.202128,-4.845172,1.115401
249,0.286332,0.278662,nan,0.202128,nan,0.969976
250,0.450928,0.436675,3.185752,0.202144,-7.844066,1.300582
251,0.416967,0.388578,nan,0.202144,nan,1.216412
252,0.271583,0.245558,3.326240,0.202159,-6.280609,0.908681
253,0.345986,0.349256,nan,0.202159,nan,1.086154
254,0.335718,0.332059,3.385854,0.202175,-6.067790,1.089606
255,0.330642,0.330375,nan,0.202175,nan,1.034897
256,0.313814,0.316583,3.256428,0.202189,-5.479989,1.013840
257,0.296407,0.284555,nan,0.202189,nan,0.978916
258,0.263625,0.240498,3.205376,0.202203,-4.970424,0.915608
259,0.324272,0.305499,nan,0.202203,nan,1.065123
260,0.305838,0.312569,3.085603,0.202215,-4.102678,0.992243
261,0.330182,0.331403,nan,0.202215,nan,1.084481
262,0.326969,0.290837,4.297831,0.202229,-9.018023,1.079720
263,0.297480,0.338802,nan,0.202229,nan,0.960085
264,0.352474,0.398855,3.154098,0.202243,-4.972507,1.125705
265,0.372032,0.393111,nan,0.202243,nan,1.176043
266,0.285541,0.289952,3.934605,0.202256,-6.450735,0.948854
267,0.240921,0.264802,nan,0.202256,nan,0.853917
268,0.314753,0.325034,3.494850,0.202268,-4.995236,1.039258
269,0.400661,0.402125,nan,0.202268,nan,1.185354
270,0.250723,0.279517,3.662205,0.202282,-7.300543,0.896617
271,0.373054,0.466338,nan,0.202282,nan,1.136184
272,0.271676,0.303507,2.948804,0.202295,-5.808973,0.907679
273,0.300496,0.296534,nan,0.202295,nan,1.004322
274,0.286816,0.291963,3.495656,0.202309,-7.188107,0.948181
275,0.404534,0.387163,nan,0.202309,nan,1.236620
276,0.320284,0.291259,3.101080,0.202322,-5.919772,1.070773
277,0.325650,0.325796,nan,0.202322,nan,1.049504
278,0.346354,0.359050,3.922372,0.202338,-8.525580,1.092087
279,0.206478,0.203248,nan,0.202338,nan,0.783557
280,0.271106,0.276167,3.359288,0.202351,-3.647290,0.937901
281,0.311086,0.308527,nan,0.202351,nan,1.028036
282,0.361106,0.365364,3.365690,0.202363,-5.590669,1.133480
283,0.466616,0.478749,nan,0.202363,nan,1.346214
284,0.391407,0.396192,2.842860,0.202373,-2.654378,1.194541
285,0.380983,0.389107,nan,0.202373,nan,1.182842
286,0.260065,0.257424,3.852285,0.202384,-6.421870,0.924308
287,0.369654,0.383458,nan,0.202384,nan,1.160442
288,0.325579,0.335665,3.369763,0.202394,-4.550892,1.035872
289,0.321195,0.322227,nan,0.202394,nan,1.053668
290,0.352099,0.365745,3.496692,0.202403,-5.735204,1.109729
291,0.367223,0.357907,nan,0.202403,nan,1.120543
292,0.329988,0.327726,3.671631,0.202413,-5.996951,1.071861
293,0.278680,0.278860,nan,0.202413,nan,0.932487
294,0.182024,0.187773,3.352299,0.202422,-4.773038,0.717462
295,0.316088,0.316596,nan,0.202422,nan,1.048690
296,0.377191,0.375410,3.668311,0.202431,-5.286684,1.192424
297,0.287392,0.283700,nan,0.202431,nan,0.950407
298,0.398091,0.397375,3.879570,0.202442,-7.854377,1.207314
299,0.389305,0.387887,nan,0.202442,nan,1.153049
300,0.317524,0.318923,3.773785,0.202453,-6.303932,1.017650
301,0.296722,0.292577,nan,0.202453,nan,0.996108
302,0.237565,0.246942,4.099125,0.202464,-6.978632,0.862233
303,0.300342,0.297136,nan,0.202464,nan,1.003072
304,0.219963,0.220175,3.562382,0.202477,-7.424562,0.796932
305,0.426226,0.428539,nan,0.202477,nan,1.269063
306,0.423217,0.422340,3.672751,0.202492,-7.776749,1.248326
307,0.358030,0.358068,nan,0.202492,nan,1.131871
308,0.409485,0.403427,3.831349,0.202505,-5.651291,1.248949
309,0.319333,0.317639,nan,0.202505,nan,1.043287
310,0.386836,0.385620,4.035491,0.202519,-5.736606,1.165498
311,0.338397,0.342729,nan,0.202519,nan,1.115777
312,0.318219,0.331111,4.284997,0.202532,-6.357011,1.041106
313,0.377113,0.385759,nan,0.202532,nan,1.153373
314,0.333074,0.343356,3.514026,0.202545,-6.084424,1.072235
315,0.365505,0.387671,nan,0.202545,nan,1.129669
316,0.488085,0.481417,2.382701,0.202556,-2.893131,1.407772
317,0.412681,0.403805,nan,0.202556,nan,1.249513
318,0.320261,0.319260,3.384426,0.202567,-6.180603,1.043537
319,0.300972,0.302502,nan,0.202567,nan,1.011207
320,0.251778,0.249551,3.972671,0.202579,-6.860581,0.856235
321,0.199989,0.197478,nan,0.202579,nan,0.767392
322,0.295931,0.292935,3.427302,0.202590,-4.723708,0.975520
323,0.321941,0.307232,nan,0.202590,nan,1.052046
324,0.294991,0.286984,4.076966,0.202600,-5.053227,1.013675
325,0.423392,0.415573,nan,0.202600,nan,1.247926
326,0.313311,0.291904,4.076067,0.202611,-6.142165,0.993296
327,0.420113,0.409294,nan,0.202611,nan,1.271343
328,0.310961,0.320846,3.423603,0.202622,-6.418804,1.017131
329,0.478770,0.472235,nan,0.202622,nan,1.389321
330,0.573748,0.554019,2.930296,0.202633,-5.682394,1.593807
331,0.440803,0.418664,nan,0.202633,nan,1.317350
332,0.333211,0.329341,3.677302,0.202645,-7.059663,1.078391
333,0.258266,0.272503,nan,0.202645,nan,0.888563
334,0.316622,0.300896,4.235261,0.202657,-6.055107,1.058894
335,0.427818,0.426530,nan,0.202657,nan,1.259969
336,0.249736,0.258784,3.882411,0.202669,-5.774926,0.875611
337,0.336844,0.343752,nan,0.202669,nan,1.094485
338,0.388097,0.381958,4.080859,0.202682,-6.882747,1.162259
339,0.376433,0.379822,nan,0.202682,nan,1.105109
340,0.267279,0.262433,3.890861,0.202695,-7.096958,0.906875
341,0.458368,0.455112,nan,0.202695,nan,1.343676
342,0.265107,0.272238,3.489345,0.202708,-4.911242,0.940002
343,0.302378,0.290891,nan,0.202708,nan,1.007996
344,0.277079,0.286457,3.083077,0.202718,-3.661232,0.898987
345,0.297471,0.300401,nan,0.202718,nan,0.982924
346,0.419154,0.423864,2.806343,0.202726,-2.146606,1.243956
347,0.334116,0.340006,nan,0.202726,nan,1.045191
348,0.159763,0.157013,3.847478,0.202735,-6.857309,0.683741
349,0.235383,0.245065,nan,0.202735,nan,0.859004
